Lokacija,Menesis,Temp_Vid_C,Nokrisni_mm
Azoru salas,Jan,17,110
Azoru salas,Feb,17,100
Azoru salas,Mar,18,90
Azoru salas,Apr,19,70
Azoru salas,Mai,20,50
Azoru salas,Jun,22,30
Azoru salas,Jul,25,10
Azoru salas,Aug,26,10
Azoru salas,Sep,25,40
Azoru salas,Okt,22,80
Azoru salas,Nov,20,100
Azoru salas,Dec,18,120
Kanāriju salas,Jan,21,20
Kanāriju salas,Feb,21,15
Kanāriju salas,Mar,22,10
Kanāriju salas,Apr,23,5
Kanāriju salas,Mai,24,2
Kanāriju salas,Jun,26,0
Kanāriju salas,Jul,28,0
Kanāriju salas,Aug,29,0
Kanāriju salas,Sep,28,5
Kanāriju salas,Okt,26,10
Kanāriju salas,Nov,24,15
Kanāriju salas,Dec,22,25
Sicīlija,Jan,15,60
Sicīlija,Feb,15,50
Sicīlija,Mar,17,40
Sicīlija,Apr,20,30
Sicīlija,Mai,24,10
Sicīlija,Jun,28,5
Sicīlija,Jul,31,0
Sicīlija,Aug,32,10
Sicīlija,Sep,29,30
Sicīlija,Okt,25,50
Sicīlija,Nov,20,60
Sicīlija,Dec,16,70
